Field=#~Integer~#~50|Field=Designator~String~Designator~212|Field=Comment~String~Comment~212|Field=Value~String~Value~159|Field=Footprint~String~Footprint~263|Field=Quantity~Integer~Quantity~46|Field=Supplier Part Number 1~String~Supplier Part Number 1~182|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~189|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~182|Field=Manufacturer 1~String~Manufacturer 1~99|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Ninja_3_2.PrjPcb|ReportField=ProjectFullPath~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2.PrjPcb|ReportField=Title~Bill of Materials For Project [Ninja_3_2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~219|ReportField=ReportTime~11:01:46 AM|ReportField=ReportDate~5/25/2016|ReportField=ReportDateTime~5/25/2016 11:01:46 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~5/25/2016|ReportField=CurrentTime~8:56:57 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2_Sheet.SchDoc|ReportField=DocumentName~Ninja_3_2_Sheet.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~5/23/2016|ReportField=Organization~|ReportField=ProjectName~Ninja_3_2.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Ninja_3_2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Zasmussen\Documents\Altium\ARPG\Ninja\Ninja_3_2\Ninja_3_2.PrjPcb
1|BLDC1, PWR1_BATT, PWR2_COMP|Terminal3, Terminal2, Terminal2|?|TERM3, TERM2, TERM2|3|||||
2|C1, C3|18pF|18pF|1608[0603]|2|712-1321-1-ND|0.50|1|Johanson Technology Inc.|251R14S180GV4T
3|C2, C4, C6, C7, C25, C30, C34, C37, C39, C46|2.2uF|2.2uF|1608[0603]|10|478-8647-1-ND|0.739|7.39|AVX Corporation|F981A225MMA
4|C5, C8, C9, C10, C11, C20, C21, C22, C35, C44, C48, C56, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73|100nF|100nF|1608[0603]|23|311-1088-1-ND|0.019|0.437|Yageo|CC0603KRX7R7BB104
5|C12, C13|15pF|15pF|1608[0603]|2|712-1318-1-ND|0.34|0.68|Johanson Technology Inc.|251R14S150JV4T
6|C14, C15, C16, C17|4.7nF|4.7nF|1608[0603]|4|445-2712-1-ND|0.24|0.96|TDK Corporation|C1608C0G1E472J080AA
7|C18, C47, C49, C50, C54|10uF|10uF|6032 [2312]|5|478-1702-1-ND|0.62|3.1|AVX Corporation|TAJC106M016RNJ
8|C19|150uF|150uF|6032 [2312]|1|478-3481-1-ND|1.46|1.46|AVX Corporation|TCJW157M006R0070
9|C23, C57|100uF|100uF|6032 [2312]|2|478-1824-1-ND|0.94|1.88|AVX Corporation|NOJC107M004RWJ
10|C24|330uF|330uF|6032 [2312]|1|478-8902-1-ND|1.28|1.28|AVX Corporation|TAJC337M006RNJ
11|C26, C41|100pF|100pF|1608[0603]|2|399-1061-1-ND|0.10|0.2|Kemet|C0603C101J5GACTU
12|C27|150uF/6.3V|150uF/6.3V|6032 [2312]|1|478-3481-1-ND|1.46|1.46|AVX Corporation|TCJW157M006R0070
13|C28, C31|1000uF/16V|1000uF/16V|Large_SMD_Cap|2|493-3930-1-ND|1.07|2.14|Nichicon|UCL1C102MNL1GS
14|C29, C42|1nF|1nF|1608[0603]|2|490-1494-1-ND|0.10|0.2|Murata Electronics North America|GRM188R71H102KA01D
15|C32, C45|10nF|10nF|1608[0603]|2|311-1085-1-ND|0.10|0.2|Yageo|CC0603KRX7R9BB103
